name,company,title,linkedin_url,segment
Dr. Sarah Chen,London School of Economics,Senior Lecturer in Behavioural Economics,https://www.linkedin.com/in/sarah-chen-econ,professor
Prof. James Hargreaves,University of Warwick,Professor of Applied Macroeconomics,https://www.linkedin.com/in/jhargreaves-warwick,professor
Dr. Priya Kapoor,UCL,Associate Professor of Development Economics,https://www.linkedin.com/in/priya-kapoor-ucl,professor
Michael Torres,Goldman Sachs,VP Emerging Markets Research,https://www.linkedin.com/in/michael-torres-gs,professional
Rachel Adams,Deloitte,Senior Economic Consultant,https://www.linkedin.com/in/rachel-adams-deloitte,professional
David Okonkwo,Bank of England,Economist - Monetary Policy Division,https://www.linkedin.com/in/david-okonkwo-boe,professional
Emily Watts,McKinsey & Company,Associate - Public Sector Practice,https://www.linkedin.com/in/emily-watts-mckinsey,alumni
Arjun Mehta,Citadel Securities,Quantitative Research Analyst,https://www.linkedin.com/in/arjun-mehta-citadel,alumni
Sophie Laurent,World Bank,Junior Economist - Poverty & Equity,https://www.linkedin.com/in/sophie-laurent-wb,alumni
Tom Richardson,JP Morgan,Graduate Analyst - Global Research,https://www.linkedin.com/in/tom-richardson-jpm,alumni
Zara Hussain,University of Manchester,MSc Economics Student,https://www.linkedin.com/in/zara-hussain-econ,student
Jake Morris,King's College London,BSc Economics & Politics Final Year,https://www.linkedin.com/in/jake-morris-kcl,student
Olivia Chang,University of Edinburgh,Economics Society President,https://www.linkedin.com/in/olivia-chang-edinburgh,student
